suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
parqueues,q9-n3-h1,storm.spm,3,-tm --sylvan:threads 1,target,1,"{""N"": 3}",9,3,1,ok,0.0,17.523971389998525,0.10957755723198541,
parqueues,q9-n3-h2,storm.spm,3,-tm --sylvan:threads 1,target,2,"{""N"": 3}",9,3,2,ok,0.0,17.95296308097507,0.2889802002889814,
parqueues,q9-n3-h3,storm.spm,3,-tm --sylvan:threads 1,target,3,"{""N"": 3}",9,3,3,ok,0.001981573309,18.966482032012816,0.09747534180022192,
parqueues,q9-n3-h4,storm.spm,3,-tm --sylvan:threads 1,target,4,"{""N"": 3}",9,3,4,ok,0.01457853112,19.29269077834518,0.24036413990368463,
parqueues,q9-n3-h5,storm.spm,3,-tm --sylvan:threads 1,target,5,"{""N"": 3}",9,3,5,ok,0.02758535924,19.368178256651543,0.2396176041429505,
parqueues,q9-n3-h6,storm.spm,3,-tm --sylvan:threads 1,target,6,"{""N"": 3}",9,3,6,ok,0.03411829351,19.46290071300852,0.15455142522152382,
parqueues,q9-n3-h7,storm.spm,3,-tm --sylvan:threads 1,target,7,"{""N"": 3}",9,3,7,ok,0.03642315309,19.43767340663665,0.25679279179747144,
parqueues,q9-n3-h8,storm.spm,3,-tm --sylvan:threads 1,target,8,"{""N"": 3}",9,3,8,ok,0.03708667992,19.434225559661474,0.07746144572037725,
parqueues,q9-n3-h9,storm.spm,3,-tm --sylvan:threads 1,target,9,"{""N"": 3}",9,3,9,ok,0.03725475008,19.69039764032156,0.2571949119917993,
parqueues,q9-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",9,3,10,ok,0.03729385656,19.640401276003104,0.16472754809266307,
parqueues,q9-n3-h20,storm.spm,3,-tm --sylvan:threads 1,target,20,"{""N"": 3}",9,3,20,ok,0.03730469803,20.20253879833035,0.271936965430959,
parqueues,q9-n3-h30,storm.spm,3,-tm --sylvan:threads 1,target,30,"{""N"": 3}",9,3,30,ok,0.03730469803,20.731484643998556,0.3054885357253008,
parqueues,q9-n3-h40,storm.spm,3,-tm --sylvan:threads 1,target,40,"{""N"": 3}",9,3,40,ok,0.03730469803,20.96273052432419,0.053729707634368955,
parqueues,q9-n3-h50,storm.spm,3,-tm --sylvan:threads 1,target,50,"{""N"": 3}",9,3,50,ok,0.03730469803,21.543101921347745,0.1655258149936793,
parqueues,q9-n3-h60,storm.spm,3,-tm --sylvan:threads 1,target,60,"{""N"": 3}",9,3,60,ok,0.03730469803,22.109938478698798,0.3552470737020748,
parqueues,q9-n3-h70,storm.spm,3,-tm --sylvan:threads 1,target,70,"{""N"": 3}",9,3,70,ok,0.03730469803,22.5704921426756,0.23313643708098739,
parqueues,q9-n3-h80,storm.spm,3,-tm --sylvan:threads 1,target,80,"{""N"": 3}",9,3,80,ok,0.03730469803,22.934861237668276,0.14498305911523274,
parqueues,q9-n3-h90,storm.spm,3,-tm --sylvan:threads 1,target,90,"{""N"": 3}",9,3,90,ok,0.03730469803,23.73803314033042,0.503562162351065,
parqueues,q9-n3-h100,storm.spm,3,-tm --sylvan:threads 1,target,100,"{""N"": 3}",9,3,100,ok,0.03730469803,24.166966189688537,0.3889690996325384,
parqueues,q9-n3-h200,storm.spm,3,-tm --sylvan:threads 1,target,200,"{""N"": 3}",9,3,200,ok,0.03730469803,29.027863440666504,0.3901220099822541,
parqueues,q9-n3-h300,storm.spm,3,-tm --sylvan:threads 1,target,300,"{""N"": 3}",9,3,300,ok,0.03730469803,34.13837761400888,0.33260800621179876,
parqueues,q9-n3-h400,storm.spm,3,-tm --sylvan:threads 1,target,400,"{""N"": 3}",9,3,400,ok,0.03730469803,39.12437733798288,0.45892768710013543,
parqueues,q9-n3-h500,storm.spm,3,-tm --sylvan:threads 1,target,500,"{""N"": 3}",9,3,500,ok,0.03730469803,43.96492735432306,0.1899885992826744,
parqueues,q9-n3-h600,storm.spm,3,-tm --sylvan:threads 1,target,600,"{""N"": 3}",9,3,600,ok,0.03730469803,49.11946147631776,0.592884966881465,
parqueues,q9-n3-h700,storm.spm,3,-tm --sylvan:threads 1,target,700,"{""N"": 3}",9,3,700,ok,0.03730469803,53.6862501379995,0.24226595299832016,
parqueues,q9-n3-h800,storm.spm,3,-tm --sylvan:threads 1,target,800,"{""N"": 3}",9,3,800,ok,0.03730469803,58.574130288344655,0.3186818323131934,
parqueues,q9-n3-h900,storm.spm,3,-tm --sylvan:threads 1,target,900,"{""N"": 3}",9,3,900,ok,0.03730469803,64.22834193632782,0.6316795777191202,
parqueues,q9-n3-h1000,storm.spm,3,-tm --sylvan:threads 1,target,1000,"{""N"": 3}",9,3,1000,ok,0.03730469803,68.91978423898884,0.20123770144648975,
