suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
weather-factory,n13-h1,storm.spm,3,-tm --sylvan:threads 1,allStrike,1,,13,1,ok,4.085269645e-10,141.7561901046623,0.7527950113000048,
weather-factory,n13-h2,storm.spm,3,-tm --sylvan:threads 1,allStrike,2,,13,2,ok,5.2620061e-10,144.26098281432255,0.6175333141264524,
weather-factory,n13-h3,storm.spm,3,-tm --sylvan:threads 1,allStrike,3,,13,3,ok,6.628657262e-10,144.64188145533748,0.07918518185179177,
weather-factory,n13-h4,storm.spm,3,-tm --sylvan:threads 1,allStrike,4,,13,4,ok,7.987741485e-10,144.22999486365975,0.28497043865652355,
weather-factory,n13-h5,storm.spm,3,-tm --sylvan:threads 1,allStrike,5,,13,5,ok,9.349360941e-10,144.8090694033308,0.4307295497267358,
weather-factory,n13-h6,storm.spm,3,-tm --sylvan:threads 1,allStrike,6,,13,6,ok,1.071101237e-09,145.43583529265985,0.32280515953181993,
weather-factory,n13-h7,storm.spm,3,-tm --sylvan:threads 1,allStrike,7,,13,7,ok,1.207272211e-09,145.44019651432367,0.5152069944672394,
weather-factory,n13-h8,storm.spm,3,-tm --sylvan:threads 1,allStrike,8,,13,8,ok,1.343443897e-09,145.91324856334055,0.5702175111045638,
weather-factory,n13-h9,storm.spm,3,-tm --sylvan:threads 1,allStrike,9,,13,9,ok,1.479615822e-09,146.25826462864643,0.5739864831809158,
weather-factory,n13-h10,storm.spm,3,-tm --sylvan:threads 1,allStrike,10,,13,10,ok,1.615787795e-09,147.35315330536105,0.5576085425073065,
weather-factory,n13-h20,storm.spm,3,-tm --sylvan:threads 1,allStrike,20,,13,20,ok,2.977507694e-09,150.2261928866695,0.6287158699100305,
weather-factory,n13-h30,storm.spm,3,-tm --sylvan:threads 1,allStrike,30,,13,30,ok,4.339227596e-09,153.58004710334353,0.9433569188517904,
weather-factory,n13-h40,storm.spm,3,-tm --sylvan:threads 1,allStrike,40,,13,40,ok,5.700947496e-09,156.44971327031575,0.5595615163027792,
weather-factory,n13-h50,storm.spm,3,-tm --sylvan:threads 1,allStrike,50,,13,50,ok,7.062667394e-09,160.33001400767048,0.29611545807189316,
weather-factory,n13-h60,storm.spm,3,-tm --sylvan:threads 1,allStrike,60,,13,60,ok,8.42438729e-09,163.691325867665,0.08716601554168875,
weather-factory,n13-h70,storm.spm,3,-tm --sylvan:threads 1,allStrike,70,,13,70,ok,9.786107185e-09,166.6348028833551,0.984137166661525,
weather-factory,n13-h80,storm.spm,3,-tm --sylvan:threads 1,allStrike,80,,13,80,ok,1.114782708e-08,169.063869810993,0.2587229117508025,
weather-factory,n13-h90,storm.spm,3,-tm --sylvan:threads 1,allStrike,90,,13,90,ok,1.250954697e-08,172.85357963334536,0.7196561849106695,
weather-factory,n13-h100,storm.spm,3,-tm --sylvan:threads 1,allStrike,100,,13,100,ok,1.387126686e-08,175.8161894279959,0.5367447822345285,
weather-factory,n13-h200,storm.spm,3,-tm --sylvan:threads 1,allStrike,200,,13,200,ok,2.748846564e-08,208.90459650636572,0.21992672485223008,
weather-factory,n13-h300,storm.spm,3,-tm --sylvan:threads 1,allStrike,300,,13,300,ok,4.110566425e-08,241.6378183203245,0.7349925802196102,
weather-factory,n13-h400,storm.spm,3,-tm --sylvan:threads 1,allStrike,400,,13,400,ok,5.472286266e-08,275.2818489076453,0.27332358379463156,
weather-factory,n13-h500,storm.spm,3,-tm --sylvan:threads 1,allStrike,500,,13,500,ok,6.834006089e-08,308.8627740116596,0.5625126662304436,
weather-factory,n13-h600,storm.spm,3,-tm --sylvan:threads 1,allStrike,600,,13,600,ok,8.195725894e-08,340.9353483243419,1.119542463874136,
weather-factory,n13-h700,storm.spm,3,-tm --sylvan:threads 1,allStrike,700,,13,700,ok,9.55744568e-08,373.6908439799833,0.9757251808267371,
weather-factory,n13-h800,storm.spm,3,-tm --sylvan:threads 1,allStrike,800,,13,800,ok,1.091916545e-07,407.4740290403327,1.2171837927636346,
weather-factory,n13-h900,storm.spm,3,-tm --sylvan:threads 1,allStrike,900,,13,900,ok,1.22808852e-07,442.16508844234824,0.39938806155379913,
weather-factory,n13-h1000,storm.spm,3,-tm --sylvan:threads 1,allStrike,1000,,13,1000,ok,1.364260493e-07,473.4358171989831,1.935763952676346,
