suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,N,H,status,probability,elapsed_seconds,error_message
meeting,n12-h1,storm.spm,-tm --sylvan:threads 1,1,goal,1,,12,1,ok,0.0,152.6568339819787,
meeting,n12-h2,storm.spm,-tm --sylvan:threads 1,1,goal,2,,12,2,ok,3.779659414e-13,173.9571113740094,
meeting,n12-h3,storm.spm,-tm --sylvan:threads 1,1,goal,3,,12,3,ok,5.644080608e-10,168.44874370505568,
meeting,n12-h4,storm.spm,-tm --sylvan:threads 1,1,goal,4,,12,4,ok,3.539291474e-08,171.59828702092636,
meeting,n12-h5,storm.spm,-tm --sylvan:threads 1,1,goal,5,,12,5,ok,5.786978733e-07,170.34867747104727,
meeting,n12-h6,storm.spm,-tm --sylvan:threads 1,1,goal,6,,12,6,ok,4.528684143e-06,172.49745164404158,
meeting,n12-h7,storm.spm,-tm --sylvan:threads 1,1,goal,7,,12,7,ok,2.228791805e-05,177.45501495909411,
meeting,n12-h8,storm.spm,-tm --sylvan:threads 1,1,goal,8,,12,8,ok,7.988763377e-05,184.1418845470762,
meeting,n12-h9,storm.spm,-tm --sylvan:threads 1,1,goal,9,,12,9,ok,0.0002277159078,180.49576564796735,
meeting,n12-h10,storm.spm,-tm --sylvan:threads 1,1,goal,10,,12,10,ok,0.0005463714939,181.65043853002135,
meeting,n12-h20,storm.spm,-tm --sylvan:threads 1,1,goal,20,,12,20,ok,0.0417331924,191.62217032792978,
meeting,n12-h30,storm.spm,-tm --sylvan:threads 1,1,goal,30,,12,30,ok,0.1847598728,196.06802860402968,
meeting,n12-h40,storm.spm,-tm --sylvan:threads 1,1,goal,40,,12,40,ok,0.3661022877,200.48000563308597,
meeting,n12-h50,storm.spm,-tm --sylvan:threads 1,1,goal,50,,12,50,ok,0.5278988381,201.42445146699902,
meeting,n12-h60,storm.spm,-tm --sylvan:threads 1,1,goal,60,,12,60,ok,0.6544402901,206.5236456290586,
meeting,n12-h70,storm.spm,-tm --sylvan:threads 1,1,goal,70,,12,70,ok,0.7483507205,209.59048007405363,
meeting,n12-h80,storm.spm,-tm --sylvan:threads 1,1,goal,80,,12,80,ok,0.8166408391,211.12357655900996,
meeting,n12-h90,storm.spm,-tm --sylvan:threads 1,1,goal,90,,12,90,ok,0.8659925998,216.05147552897688,
meeting,n12-h100,storm.spm,-tm --sylvan:threads 1,1,goal,100,,12,100,ok,0.9016671743,218.19089295703452,
meeting,n12-h200,storm.spm,-tm --sylvan:threads 1,1,goal,200,,12,200,ok,0.9946228035,254.0527696290519,
meeting,n12-h300,storm.spm,-tm --sylvan:threads 1,1,goal,300,,12,300,ok,0.9996526885,284.79366265493445,
meeting,n12-h400,storm.spm,-tm --sylvan:threads 1,1,goal,400,,12,400,ok,0.9999764865,321.6156208179891,
meeting,n12-h500,storm.spm,-tm --sylvan:threads 1,1,goal,500,,12,500,ok,0.9999983861,356.13050807709806,
meeting,n12-h600,storm.spm,-tm --sylvan:threads 1,1,goal,600,,12,600,ok,0.9999998888,389.67081091797445,
meeting,n12-h700,storm.spm,-tm --sylvan:threads 1,1,goal,700,,12,700,ok,0.9999999923,425.73515761701856,
meeting,n12-h800,storm.spm,-tm --sylvan:threads 1,1,goal,800,,12,800,ok,0.9999999995,456.6842023739591,
meeting,n12-h900,storm.spm,-tm --sylvan:threads 1,1,goal,900,,12,900,ok,1.0,490.0294839090202,
meeting,n12-h1000,storm.spm,-tm --sylvan:threads 1,1,goal,1000,,12,1000,ok,1.0,527.7956153959967,
